outcome,model,term,coef,std_err,t,p_value,nobs,r2,adj_r2
ROA_annual_mean,M1_traditional_yearFE,z_traditional,0.03858547571324892,0.05325564690999644,0.7245330392560899,0.46873855106756634,2029,0.48362625855598695,0.37029107176881637
ROA_annual_mean,M1_traditional_yearFE,z_log_assets,-0.32389509718215903,0.5874622393369688,-0.551346240649814,0.5813963457011158,2029,0.48362625855598695,0.37029107176881637
ROA_annual_mean,M2_ai_yearFE,z_ai,0.008990100266496794,0.022543911983109146,0.3987817319918814,0.6900540386846026,2029,0.4832552212067439,0.3698385980801423
ROA_annual_mean,M2_ai_yearFE,z_log_assets,-0.3228389331975515,0.591378201273444,-0.5459094239563894,0.5851282000708986,2029,0.4832552212067439,0.3698385980801423
ROA_annual_mean,M3_both_yearFE,z_traditional,0.037650599070476826,0.05273240716455391,0.7139935590838172,0.47523116224923845,2029,0.48363353226411,0.36992106102985256
ROA_annual_mean,M3_both_yearFE,z_ai,0.003923334023559289,0.021007659277390536,0.1867573141659705,0.8518509163513105,2029,0.48363353226411,0.36992106102985256
ROA_annual_mean,M3_both_yearFE,z_log_assets,-0.32579268402530165,0.589062149439519,-0.5530701375657678,0.5802153841314852,2029,0.48363353226411,0.36992106102985256
ROA_annual_mean,C1_covid_exposure_2020_2022,z_traditional,0.10750555066162408,0.11640623695562854,0.9235377199127466,0.3557270528219092,838,0.5324721182607944,0.26443451688775366
ROA_annual_mean,C1_covid_exposure_2020_2022,z_ai,0.029006055179354843,0.05513011622415212,0.5261381104552704,0.5987922511337884,838,0.5324721182607944,0.26443451688775366
ROA_annual_mean,C1_covid_exposure_2020_2022,z_annual_mean_covid_overall_exposure_main_hcr,-0.02959710509016193,0.04359961703552256,-0.6788386481938097,0.49724010266919316,838,0.5324721182607944,0.26443451688775366
ROA_annual_mean,C1_covid_exposure_2020_2022,z_log_assets,-2.858661677763277,1.580284001274188,-1.8089543876026897,0.07045808983596716,838,0.5324721182607944,0.26443451688775366
ROA_annual_mean,C2_ai_x_covid_exposure_2020_2022,z_traditional,0.10718843463308443,0.11597392818232487,0.9242459603900922,0.35535827134267073,838,0.5332298726407008,0.26424369755229105
ROA_annual_mean,C2_ai_x_covid_exposure_2020_2022,z_ai,0.02844552011173593,0.05561014877060126,0.5115167058638382,0.6089892935668682,838,0.5332298726407008,0.26424369755229105
ROA_annual_mean,C2_ai_x_covid_exposure_2020_2022,z_annual_mean_covid_overall_exposure_main_hcr,-0.024947888859216276,0.04051864661111569,-0.6157137749110354,0.5380834442668744,838,0.5332298726407008,0.26424369755229105
ROA_annual_mean,C2_ai_x_covid_exposure_2020_2022,z_ai:z_annual_mean_covid_overall_exposure_main_hcr,-0.035540741298579474,0.042384907804624075,-0.8385235013936276,0.4017367543010729,838,0.5332298726407008,0.26424369755229105
ROA_annual_mean,C2_ai_x_covid_exposure_2020_2022,z_log_assets,-2.8588400905450038,1.574586429165364,-1.8156133176254923,0.06942970926778864,838,0.5332298726407008,0.26424369755229105
ROA_annual_mean,C3_traditional_x_covid_exposure_2020_2022,z_traditional,0.1072506053391102,0.11644330004988913,0.9210543268110711,0.357022064150215,838,0.5325154265521215,0.2631175367685983
ROA_annual_mean,C3_traditional_x_covid_exposure_2020_2022,z_ai,0.02904962261482397,0.05521193000540851,0.5261475665128587,0.5987856815462245,838,0.5325154265521215,0.2631175367685983
ROA_annual_mean,C3_traditional_x_covid_exposure_2020_2022,z_annual_mean_covid_overall_exposure_main_hcr,-0.029619303869582066,0.04375807438463849,-0.6768877352605828,0.4984771863535684,838,0.5325154265521215,0.2631175367685983
ROA_annual_mean,C3_traditional_x_covid_exposure_2020_2022,z_traditional:z_annual_mean_covid_overall_exposure_main_hcr,0.008846066466823866,0.02788200367780813,0.3172679614078322,0.7510402856003313,838,0.5325154265521215,0.2631175367685983
ROA_annual_mean,C3_traditional_x_covid_exposure_2020_2022,z_log_assets,-2.853979201905942,1.5801408637404455,-1.8061549241566464,0.07089414358881516,838,0.5325154265521215,0.2631175367685983
ROA_annual_mean,C4_both_interactions_2020_2022,z_traditional,0.10665025702920869,0.1157781095495303,0.9211608087587863,0.3569664763066003,838,0.5333926864434491,0.26311260104371104
ROA_annual_mean,C4_both_interactions_2020_2022,z_ai,0.028475139818255887,0.05575991701437408,0.5106739992262797,0.6095793500669018,838,0.5333926864434491,0.26311260104371104
ROA_annual_mean,C4_both_interactions_2020_2022,z_annual_mean_covid_overall_exposure_main_hcr,-0.024520398798745395,0.04079180887379449,-0.6011108473911735,0.5477661589518132,838,0.5333926864434491,0.26311260104371104
ROA_annual_mean,C4_both_interactions_2020_2022,z_ai:z_annual_mean_covid_overall_exposure_main_hcr,-0.03914548623549753,0.04396288478746633,-0.8904212365667545,0.3732397434762057,838,0.5333926864434491,0.26311260104371104
ROA_annual_mean,C4_both_interactions_2020_2022,z_traditional:z_annual_mean_covid_overall_exposure_main_hcr,0.017557617528176524,0.029548221960598142,0.5942021672772457,0.5523769033891446,838,0.5333926864434491,0.26311260104371104
ROA_annual_mean,C4_both_interactions_2020_2022,z_log_assets,-2.8495644373228384,1.5705497045009085,-1.8143739285401204,0.06962017679751067,838,0.5333926864434491,0.26311260104371104
StockReturn_annual_compound_w,M1_traditional_yearFE,z_traditional,-0.045942979743115245,0.03795616435871033,-1.210422088726467,0.22611697022872335,2018,0.5582651801262263,0.46099266080737955
StockReturn_annual_compound_w,M1_traditional_yearFE,z_log_assets,0.06347773138255222,0.24995731303277985,0.25395428768362394,0.7995308736792254,2018,0.5582651801262263,0.46099266080737955
StockReturn_annual_compound_w,M2_ai_yearFE,z_ai,0.026978611817962028,0.025017520955785667,1.0783886966915013,0.2808603291882349,2018,0.558064447511808,0.4607477257297742
StockReturn_annual_compound_w,M2_ai_yearFE,z_log_assets,0.0378819574361179,0.24726451055032597,0.1532041834544135,0.8782372587014767,2018,0.558064447511808,0.4607477257297742
StockReturn_annual_compound_w,M3_both_yearFE,z_traditional,-0.054017720562187295,0.038312176109204635,-1.4099361103429817,0.1585585489032998,2018,0.5587595097158407,0.46126993407799677
StockReturn_annual_compound_w,M3_both_yearFE,z_ai,0.034158092130455335,0.024999720764050125,1.366338946456356,0.17183260214354046,2018,0.5587595097158407,0.46126993407799677
StockReturn_annual_compound_w,M3_both_yearFE,z_log_assets,0.04560139906972455,0.25094289344817045,0.1817202250405351,0.8558022929520204,2018,0.5587595097158407,0.46126993407799677
StockReturn_annual_compound_w,C1_covid_exposure_2020_2022,z_traditional,-0.07395368476469191,0.10205798343312322,-0.7246242016250737,0.46868260748382595,836,0.6538460729338538,0.45464428471654317
StockReturn_annual_compound_w,C1_covid_exposure_2020_2022,z_ai,0.06526500885811422,0.06035424781015397,1.0813656242292538,0.2795345065724437,836,0.6538460729338538,0.45464428471654317
StockReturn_annual_compound_w,C1_covid_exposure_2020_2022,z_annual_mean_covid_overall_exposure_main_hcr,-0.06362223373783282,0.054275418212793934,-1.1722108430080347,0.24111241615717216,836,0.6538460729338538,0.45464428471654317
StockReturn_annual_compound_w,C1_covid_exposure_2020_2022,z_log_assets,-1.6335596335323923,0.6522292419441554,-2.504578955495926,0.012259723878455845,836,0.6538460729338538,0.45464428471654317
StockReturn_annual_compound_w,C2_ai_x_covid_exposure_2020_2022,z_traditional,-0.07508594855311229,0.10238774954500007,-0.7333489493302275,0.463345627222438,836,0.6567728384461442,0.45823311928644694
StockReturn_annual_compound_w,C2_ai_x_covid_exposure_2020_2022,z_ai,0.06385577454061786,0.06172308235151244,1.034552587263218,0.300877905956375,836,0.6567728384461442,0.45823311928644694
StockReturn_annual_compound_w,C2_ai_x_covid_exposure_2020_2022,z_annual_mean_covid_overall_exposure_main_hcr,-0.052375234605222025,0.05143519924250006,-1.0182761100679323,0.30854675833285883,836,0.6567728384461442,0.45823311928644694
StockReturn_annual_compound_w,C2_ai_x_covid_exposure_2020_2022,z_ai:z_annual_mean_covid_overall_exposure_main_hcr,-0.0888020661030123,0.05647692341319089,-1.5723601913179193,0.11586704100999864,836,0.6567728384461442,0.45823311928644694
StockReturn_annual_compound_w,C2_ai_x_covid_exposure_2020_2022,z_log_assets,-1.6298822153614438,0.6356967659152165,-2.5639303245705403,0.010349431816775891,836,0.6567728384461442,0.45823311928644694
StockReturn_annual_compound_w,C3_traditional_x_covid_exposure_2020_2022,z_traditional,-0.07051652678961318,0.10156291809544463,-0.6943137132328618,0.48748549291895205,836,0.6568062248832318,0.4582858181049122
