YEAR_num,Traditional_mean,AI_mean,Traditional_median,AI_median,N
2018,49.606432072622354,40.62840381517233,49.346246973365616,43.75,287
2019,49.786587082606005,41.26076317960224,50.26634382566586,50.0,301
2020,50.354745925215724,48.39799200380156,50.2179176755448,56.25,298
2021,50.19759456992021,42.507747004717785,50.16949152542372,56.25,305
2022,50.115949936909594,45.63398752568478,48.76513317191284,62.5,284
2023,49.92390176409547,45.892857142857146,50.72639225181598,62.5,280
2024,49.815662501546456,47.098189219539584,49.32203389830508,62.5,274
