YEAR_num,n_rows,n_ai_matched,ai_coverage_rate,traditional_mean,ai_mean,traditional_median,ai_median
2018,301,287,0.9534883720930233,49.941196817710136,40.62840381517233,49.83050847457628,43.75
2019,313,301,0.9616613418530351,50.015548971524495,41.26076317960224,50.46004842615012,50.0
2020,302,298,0.9867549668874173,50.20797588313584,48.39799200380156,50.2179176755448,56.25
2021,309,305,0.9870550161812298,50.28373962716566,42.507747004717785,50.16949152542372,56.25
2022,285,284,0.9964912280701754,49.991759058663604,45.63398752568478,48.47457627118644,62.5
2023,281,280,0.99644128113879,49.87617726383635,45.892857142857146,50.55690072639225,62.5
2024,274,274,1.0,49.815662501546456,47.098189219539584,49.32203389830508,62.5
