outcome,model,term,coef,std_err,t,p_value,nobs,r2,adj_r2
ROA_annual_mean,M1_traditional_yearFE,z_traditional,0.044921935508753334,0.03215558205993308,1.3970182665338082,0.16240807818844438,2029,0.058652190587983544,0.054924080451698276
ROA_annual_mean,M1_traditional_yearFE,z_log_assets,0.054203002135948995,0.038043729248737085,1.4247552278999658,0.15422796848104328,2029,0.058652190587983544,0.054924080451698276
ROA_annual_mean,M2_ai_yearFE,z_ai,0.004421712981092662,0.03294123127652385,0.13423034931435227,0.8932204277872557,2029,0.05644092420065994,0.052704056573731894
ROA_annual_mean,M2_ai_yearFE,z_log_assets,0.05055907222049139,0.0442193534788342,1.143369774609928,0.25288509629363953,2029,0.05644092420065994,0.052704056573731894
ROA_annual_mean,M3_both_yearFE,z_traditional,0.047258581645293105,0.0314191409807895,1.5041334731012619,0.1325470030560508,2029,0.05872780568733449,0.05453194152249352
ROA_annual_mean,M3_both_yearFE,z_ai,-0.008926160130717033,0.03202908751280179,-0.2786891798634386,0.7804833668842017,2029,0.05872780568733449,0.05453194152249352
ROA_annual_mean,M3_both_yearFE,z_log_assets,0.056798966179971135,0.042572624248842124,1.3341664316480546,0.18214931816905466,2029,0.05872780568733449,0.05453194152249352
ROA_annual_mean,C1_covid_exposure_2020_2022,z_traditional,0.061941598746943584,0.029669284111624318,2.087734861208703,0.03682175831872752,838,0.07923138807676655,0.07258323925421606
ROA_annual_mean,C1_covid_exposure_2020_2022,z_ai,-0.057447280603012206,0.03645855245577079,-1.5756873691763713,0.11509786976333175,838,0.07923138807676655,0.07258323925421606
ROA_annual_mean,C1_covid_exposure_2020_2022,z_annual_mean_covid_overall_exposure_main_hcr,-0.04492969102970989,0.03672116991678187,-1.2235364813139207,0.2211271339352564,838,0.07923138807676655,0.07258323925421606
ROA_annual_mean,C1_covid_exposure_2020_2022,z_log_assets,-0.002135509224194578,0.0325279442455608,-0.06565152743970344,0.9476552646026519,838,0.07923138807676655,0.07258323925421606
ROA_annual_mean,C2_ai_x_covid_exposure_2020_2022,z_traditional,0.06575176669684128,0.030167130785142833,2.1795830423894245,0.02928838292721354,838,0.08293432407100199,0.07520003523786589
ROA_annual_mean,C2_ai_x_covid_exposure_2020_2022,z_ai,-0.05666241515403777,0.036255251763092376,-1.5628746843159358,0.11808207323172074,838,0.08293432407100199,0.07520003523786589
ROA_annual_mean,C2_ai_x_covid_exposure_2020_2022,z_annual_mean_covid_overall_exposure_main_hcr,-0.037832355136330244,0.03366486037382935,-1.1237936149511154,0.26110059084438464,838,0.08293432407100199,0.07520003523786589
ROA_annual_mean,C2_ai_x_covid_exposure_2020_2022,z_ai:z_annual_mean_covid_overall_exposure_main_hcr,-0.059643006212299024,0.03714008783850742,-1.6058929766574281,0.10829742695578179,838,0.08293432407100199,0.07520003523786589
ROA_annual_mean,C2_ai_x_covid_exposure_2020_2022,z_log_assets,-0.004964960307383273,0.03253536236450212,-0.1526019674150093,0.8787121734008928,838,0.08293432407100199,0.07520003523786589
ROA_annual_mean,C3_traditional_x_covid_exposure_2020_2022,z_traditional,0.06192629058162625,0.02966940234376727,2.0872105836211854,0.03686910320397218,838,0.07957604956378628,0.0718134379336014
ROA_annual_mean,C3_traditional_x_covid_exposure_2020_2022,z_ai,-0.05901038062845111,0.03680252742648682,-1.603432827985104,0.10883912817451194,838,0.07957604956378628,0.0718134379336014
ROA_annual_mean,C3_traditional_x_covid_exposure_2020_2022,z_annual_mean_covid_overall_exposure_main_hcr,-0.045846544743119666,0.03717384383409414,-1.2333011605614839,0.21746342506664185,838,0.07957604956378628,0.0718134379336014
